STRAIN,SPECIES,GENOTYPE,COMMENTS,FROM,OTHER NAMES
CEW1,Oscheius tipulae,wild isolate,"Reference strain. Isolated from Sao Paulo, Brazil. Refrozen rapidly after a thaw from Caltech. Hermaphrodites + males.",Carlos Winter,"PS1022, B6D6"
PS2428,Oscheius tipulae,unc-4(sy457),"Slow, distal tip cell migration defect. Outcrossed 5x to CEW1. Reference allele.",MAF,3.9.4
PS2558,Oscheius tipulae,unc-1(sy486),Twitcher. Outcrossed 5x to CEW1. Reference allele.,MAF,9.19.3
PS2590,Oscheius tipulae,dov-9(sy505),"Excess vulval divisions. cf Dichtel et al. Genetics 2001. Outcrossed 2x to CEW1, 1x to PS2533, 1x to CEW1, 1x to PS2530.",MAF,10.17.4
PS2614,Oscheius tipulae,dpy-4(sy515),Outcrossed 5x to CEW1. Reference allele.,MAF,11.2.1
PS2616,Oscheius tipulae,dpy-5(sy517),Outcrossed 5x to CEW1. Reference allele.,MAF,11.28.4
PS2617,Oscheius tipulae,dpy-6(sy518),Outcrossed 5x to CEW1. Reference allele.,Mark Viney,12.34.5
PS2625,Oscheius tipulae,him(sy526),"High incidence of males. Dominant. Outcrossed 1x to PS2371, 1x to PS2428, 1x to PS2429.",MAF,5.16.11
PS2661,Oscheius tipulae,dpy-6(sy535),Outcrossed 5x to CEW1.,Mark Viney,13.15.15
JU1,Oscheius tipulae,dpy-1(mf1),Outcrossed 5x to CEW1.,Mark Viney,15.49.5
JU3,Oscheius tipulae,rol-1(sy472) unc-7(sy485) X,,MAF,
JU4,Oscheius tipulae,unc-6(sy474); dov-9(sy505),constructed with sy505 outcrossed 3x,MAF,
DF5050,Panagrolaimus superbus,wild isolate,Males + females. F_lix et al. Dev. Biol. 2000.,Sven Bostr_m/Bj_rn Sohlenius,
BSS8,Panagrolaimus detritophagus,wild isolate,Males + females. F_lix et al. Dev. Biol. 2000.,Sven Bostr_m/Bj_rn Sohlenius,
PS1579,Panagrolaimus sp.,wild isolate,"Parthenogenetic. Isolated by M.-A.F_lix & P. Sternberg, 1994, Huntington gardens, San Marino, CA. F_lix & Sternberg, Dev. 1996. F_lix et al. Dev. Biol. 2000, Delattre & F_lix, Dev. Biol. 01.",MAF,Huntington #75
PS2373,Oscheius tipulae,iov-3(sy447),"Outcrossed 5x to CEW1. Hyperinduction of P4.p and P8.p. Dichtel-Danjoy & F_lix, Dev. Biol. 2004.",MAF,1.2.8
PS2374,Oscheius tipulae,dov-13(sy448),Excess of vulval divisions. cf Dichtel et al. Genetics 2001. Outcrossed 5x to CEW1.,MAF,1.19.9
