B306,1/14/15 Review,Bam_Name,Run,Library,Strain,Isotype,Latitude,Longitude,Location,FELIX DB LOC,Fastq Modifications,Original Fastq2,Library Prepareation Method
,doesnt group,Uchicago-L001-JU2316,Uchicago,L001,JU2316,,38.7175,-9.1486,"Lisbon, Portugal","Isolated from rotten Ficus macrophylla fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a post-dauer juvenile on 26 Aug. Same sample as JU2317 and JU2377.",NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L001-JU2466,Uchicago,L001,JU2466,,-13.257,-72.266,"Ollantaytambo, Peru","From a rotting lemon collected by Ludmilla Lokmane in Ollanta (Peru; -13.266085, -72.179351) in Jan 2013. Isolated by Lise Frézal. Line started from an adult isolated on 9 Jan 2013.
",NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-JU2513,Uchicago,L002,JU2513,,38.26016,22.0736,"Aigio, Greece","Isolated from a rotting orange sampled by MAF near Aigio, Greece on 7 May 2013. 38.26016, 22.0736.",NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-JU2519,Uchicago,L002,JU2519,,38.7175,-9.1486,"Lisbon, Portugal","Isolated from rotten Ficus isophlebia fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a dauer juvenile on 26 Aug. Same sample as JU2520-1. Same tree as JU778-81.",NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-JU2522,Uchicago,L002,JU2522,,38.7175,-9.1486,"Lisbon, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-JU2526,Uchicago,L002,JU2526,,38.7175,-9.1486,"Lisbon, Portugal","Isolated from rotten fruits of Chrysophyllum imperiale sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a dauer juvenile on 26 Aug. Same sample as JU2524-5. ",NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L001-NIC242,Uchicago,L001,NIC242,,38.691765,-9.31609,"Oeiras, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L001-NIC251,Uchicago,L001,NIC251,,38.66621,28.151364,"Ribeira do Nabo, Urzelina, S. Jorge, Azores",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-NIC252,Uchicago,L002,NIC252,,38.661313,-28.147949,"Ribeira do Nabo, Urzelina, S. Jorge, Azores",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-NIC255,Uchicago,L002,NIC255,,43.714834,7.266779,Parc Valrose,,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L001-NIC258,Uchicago,L001,NIC258,,38.71829,-9.14875,"Lisbon, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L001-NIC259,Uchicago,L001,NIC259,,38.71829,-9.14875,"Lisbon, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-NIC260,Uchicago,L002,NIC260,,38.71829,-9.14875,"Lisbon, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L001-NIC261,Uchicago,L001,NIC261,,38.71829,-9.14875,"Lisbon, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L001-NIC262,Uchicago,L001,NIC262,,38.71829,-9.14875,"Lisbon, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-NIC265,Uchicago,L002,NIC265,,38.71829,-9.14875,"Lisbon, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-NIC266,Uchicago,L002,NIC266,,38.69237,-9.31592,"Oeiras, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-NIC268,Uchicago,L002,NIC268,,38.69237,-9.31592,"Oeiras, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L001-NIC269,Uchicago,L001,NIC269,,38.69237,-9.31592,"Oeiras, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L001-NIC274,Uchicago,L001,NIC274,,39.769459,-8.756356,"AlqueidÃ£o da Boavista, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L001-NIC275,Uchicago,L001,NIC275,,39.769459,-8.756356,"AlqueidÃ£o da Boavista, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-NIC276,Uchicago,L002,NIC276,,39.769459,-8.756356,"AlqueidÃ£o da Boavista, Portugal",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-NIC277,Uchicago,L002,NIC277,,43.716441,7.266138,Parc Valrose,,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L001-QG2075,Uchicago,L001,QG2075,,33.951,-83.376,"Athens, Georgia, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
,doesnt group,Uchicago-L002-QW947,Uchicago,L002,QW947,,-33.4213,-70.6106,"Santiago, Chile",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI1-RET2-AB1,ok,BGI1-RET2-AB1,BGI1,RET2,AB1,AB1,-34.93,138.59,"Adelaide, Australia",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET2-AB1,ok,BGI2-RET2-AB1,BGI2,RET2,AB1,AB1,-34.93,138.59,"Adelaide, Australia",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET2b-AB1,ok,BGI3-RET2b-AB1,BGI3,RET2b,AB1,AB1,-34.93,138.59,"Adelaide, Australia",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
MMP-7028LAB_5-AB1,ok,MMP-7028LAB_5-AB1,MMP,7028LAB_5,AB1,AB1,-34.93,138.59,"Adelaide, South Australia (Australia)",,None,,Sonication
MMP-B00B7AB_3-AB1,ok,MMP-B00B7AB_3-AB1,MMP,B00B7AB_3,AB1,AB1,-34.93,138.59,"Adelaide, South Australia (Australia)",,None,,Sonication
MMP-C02D1AC_1-AB1,ok,MMP-C02D1AC_1-AB1,MMP,C02D1AC_1,AB1,AB1,-34.93,138.59,"Adelaide, South Australia (Australia)",,None,,Sonication
MMP-D09NFAC_4-AB1,ok,MMP-D09NFAC_4-AB1,MMP,D09NFAC_4,AB1,AB1,-34.93,138.59,"Adelaide, South Australia (Australia)",,None,,Sonication
MMP-D0A7EAC_1-AB1,ok,MMP-D0A7EAC_1-AB1,MMP,D0A7EAC_1,AB1,AB1,-34.93,138.59,"Adelaide, South Australia (Australia)",,None,,Sonication
Rockman096-R096.2-AB1,ok,Rockman096-R096.2-AB1,Rockman096,R096.2,AB1,AB1,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
MMP-7028LAB_5-AB3,ok,MMP-7028LAB_5-AB3,MMP,7028LAB_5,AB3,AB4,,,"Adelaide, South Australia (Australia)",,None,,Sonication
MMP-B00B7AB_3-AB3,ok,MMP-B00B7AB_3-AB3,MMP,B00B7AB_3,AB3,AB4,,,"Adelaide, South Australia (Australia)",,None,,Sonication
MMP-C02D1AC_1-AB3,ok,MMP-C02D1AC_1-AB3,MMP,C02D1AC_1,AB3,AB4,,,"Adelaide, South Australia (Australia)",,None,,Sonication
MMP-D09NFAC_4-AB3,ok,MMP-D09NFAC_4-AB3,MMP,D09NFAC_4,AB3,AB4,,,"Adelaide, South Australia (Australia)",,None,,Sonication
MMP-D0A7EAC_1-AB3,ok,MMP-D0A7EAC_1-AB3,MMP,D0A7EAC_1,AB3,AB4,,,"Adelaide, South Australia (Australia)",,None,,Sonication
BGI1-RET2-AB4,ok,BGI1-RET2-AB4,BGI1,RET2,AB4,AB4,-34.93,138.59,"Adelaide, Australia",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET2-AB4,ok,BGI2-RET2-AB4,BGI2,RET2,AB4,AB4,-34.93,138.59,"Adelaide, Australia",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET2a-AB4,ok,BGI3-RET2a-AB4,BGI3,RET2a,AB4,AB4,-34.93,138.59,"Adelaide, Australia",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
Rockman999-R999.1-AB2,ok,Rockman999-R999.1-AB2,Rockman999,R999.1,AB2,AB4,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
